from,to,value,block_time
0xc94818b747964a12e50628405324e0ccc3187b42,0x4327489c04e703d0c6b82621a748d5155d8e2f3d,150.0,1673643731
0x156aee1ae9a3c743a687a5bec3798a44789ee9ca,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,447.2169132346579,1673643767
0xc94818b747964a12e50628405324e0ccc3187b42,0x923448e64b854614b5fc20f7ad526217b23637fd,99.37260856747989,1673643779
0x8f00ba2844cd042858c670f359f1a9ee529c33ea,0x923448e64b854614b5fc20f7ad526217b23637fd,29.998584511572844,1673643803
0x4327489c04e703d0c6b82621a748d5155d8e2f3d,0x035991ec18d4f75d9e72b3f9f62a49eeac35cff2,60.0,1673643815
0x923448e64b854614b5fc20f7ad526217b23637fd,0x5ac79cb43da160a5aabe08543af52d64afbb6c09,80.0,1673643839
0x4327489c04e703d0c6b82621a748d5155d8e2f3d,0x22146a15ec6edc4ec0f42613326a840e06aa91bd,89.99769234740697,1673643851
0x923448e64b854614b5fc20f7ad526217b23637fd,0x445529947a5e0101570911c198642c6bdbed674d,49.36893150962317,1673643863
0x445529947a5e0101570911c198642c6bdbed674d,0x287545b8dacd7ebf32db08c01406fe5e75258d6d,30.0,1673643911
0x035991ec18d4f75d9e72b3f9f62a49eeac35cff2,0x6ee420ed646b309ebb5f209bea75eae8a8cd90cd,18.0,1673643911
0x445529947a5e0101570911c198642c6bdbed674d,0x5ac79cb43da160a5aabe08543af52d64afbb6c09,19.36672953604903,1673643947
0x035991ec18d4f75d9e72b3f9f62a49eeac35cff2,0x4352d5a9106cad088de1add27959e6fdb9e50b31,14.0,1673643959
0x287545b8dacd7ebf32db08c01406fe5e75258d6d,0x8b9209b0b79801b2f17844f6e5a937512019d93a,29.99874390038962,1673643995
0x035991ec18d4f75d9e72b3f9f62a49eeac35cff2,0x062c74a40afc40e34d96b6e96870e316763387eb,20.0,1673643995
0x035991ec18d4f75d9e72b3f9f62a49eeac35cff2,0x3d02e7c9a744af3d3391cd8650d9a702ee5c5cb8,7.996092978875609,1673644043
0x5ac79cb43da160a5aabe08543af52d64afbb6c09,0x445529947a5e0101570911c198642c6bdbed674d,99.36556129147891,1673644043
0x0c27de907e39d3817b0ca2b9a03b5af6c17fdf27,0x669e1ed9cafb703e93075e0ded1f5af959187d1e,500.0,1673644055
0x445529947a5e0101570911c198642c6bdbed674d,0x9f4f72be9fb988dbd2dd9e59f4343130a1616eab,99.36473957627406,1673644103
0x22146a15ec6edc4ec0f42613326a840e06aa91bd,0x869699075914daf0fd299859892f9c9c33aa7623,16.0,1673644115
0x669e1ed9cafb703e93075e0ded1f5af959187d1e,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,400.0,1673644139
0x9f4f72be9fb988dbd2dd9e59f4343130a1616eab,0x5a229b7a9c3a50c89221e32333a8df8c846f569a,99.36369541180471,1673644175
0x22146a15ec6edc4ec0f42613326a840e06aa91bd,0x40c828188108414d73a7fda053e6bdc7924f8bca,25.0,1673644187
0x0c27de907e39d3817b0ca2b9a03b5af6c17fdf27,0x669e1ed9cafb703e93075e0ded1f5af959187d1e,197.5706098604605,1673644211
0x22146a15ec6edc4ec0f42613326a840e06aa91bd,0xfd0a9277a58796aa04adace3a7dcbec0cf1a9b12,23.0,1673644235
0x5a229b7a9c3a50c89221e32333a8df8c846f569a,0x24f69318ffc95ef906fc9eda08b8911d0fe43691,5.0,1673644415
0x669e1ed9cafb703e93075e0ded1f5af959187d1e,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,297.49217414324943,1673644427
0x24f69318ffc95ef906fc9eda08b8911d0fe43691,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,4.9991622849953,1673644547
0x8b9209b0b79801b2f17844f6e5a937512019d93a,0x669cf83336e8b82d32ec5cfb5e6501583129638d,10.0,1673644559
0x7eedc5ab65765a15cdd3e6bb2035b6cd934d356d,0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,23.996126958576987,1673644919
0xc7a2dd0d776957b44821c961e1e1c1d80faa26b4,0x558de6737c93670f0120d54111cd267e3f09a869,500.0,1673644967
0x669cf83336e8b82d32ec5cfb5e6501583129638d,0x28c6c06298d514db089934071355e5743bf21d60,9.999304264259377,1673644979
0x01aef6f9981092e25ce3242303dc2ba42de8e923,0x6d1f8a4ae743822882783ca36b58f1778ed6bdaa,27.995902190942306,1673644979
0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,0xf69f340cf699be3e0169558230d51d45d01d0216,10.0,1673644991
0xc7a2dd0d776957b44821c961e1e1c1d80faa26b4,0xbd4dae4dfa98100ec06a23a5f82bc57aafbfc285,200.0,1673645015
0x22146a15ec6edc4ec0f42613326a840e06aa91bd,0xab9e793b87ab2cab13b05b80a444464852eb4d30,25.994368322094292,1673645051
0xc7a2dd0d776957b44821c961e1e1c1d80faa26b4,0x52143015e3ae0ec582c37ef8244712a9117ecf2d,297.4975995508381,1673645051
0xf69f340cf699be3e0169558230d51d45d01d0216,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,9.9992299668487,1673645123
0x6ee420ed646b309ebb5f209bea75eae8a8cd90cd,0x6d1f8a4ae743822882783ca36b58f1778ed6bdaa,17.999100013341472,1673645123
0x8fc121d6aa95bcc1ae07044ffa0e74b729d25fd1,0x7fbe7fd3a3d79d21f889a5220e915304aacdbd4c,697.2556254427249,1673645123
0xbd4dae4dfa98100ec06a23a5f82bc57aafbfc285,0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,150.0,1673645123
0x4352d5a9106cad088de1add27959e6fdb9e50b31,0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,13.999053776447957,1673645183
0xbd4dae4dfa98100ec06a23a5f82bc57aafbfc285,0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,49.99835083520842,1673645195
0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,0x671d6414bc73ec611bf9760c7affbad51bd0c1ab,2.0,1673645243
0x062c74a40afc40e34d96b6e96870e316763387eb,0x6d1f8a4ae743822882783ca36b58f1778ed6bdaa,19.99920219350261,1673645267
0x52143015e3ae0ec582c37ef8244712a9117ecf2d,0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,100.0,1673645315
0x3d02e7c9a744af3d3391cd8650d9a702ee5c5cb8,0xab9e793b87ab2cab13b05b80a444464852eb4d30,7.995274668079691,1673645351
0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,200.0,1673645363
0x52143015e3ae0ec582c37ef8244712a9117ecf2d,0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,197.49619127895335,1673645399
0x671d6414bc73ec611bf9760c7affbad51bd0c1ab,0x28c6c06298d514db089934071355e5743bf21d60,1.985,1673645411
0x869699075914daf0fd299859892f9c9c33aa7623,0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,15.99923295844738,1673645423
0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,199.99913207863526,1673645459
0x40c828188108414d73a7fda053e6bdc7924f8bca,0x6d1f8a4ae743822882783ca36b58f1778ed6bdaa,24.999122161403218,1673645471
0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,0x7fa9128f778d551236186ab1dfb5aace36af12d9,16.0,1673645507
0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,0x5a229b7a9c3a50c89221e32333a8df8c846f569a,199.99850228901383,1673645507
0x7fbe7fd3a3d79d21f889a5220e915304aacdbd4c,0xc3f2c8f9d5f0705de706b1302b7a039e1e11ac88,200.0,1673645519
0xfd0a9277a58796aa04adace3a7dcbec0cf1a9b12,0xab9e793b87ab2cab13b05b80a444464852eb4d30,22.999184234878324,1673645531
0x8b9209b0b79801b2f17844f6e5a937512019d93a,0x669cf83336e8b82d32ec5cfb5e6501583129638d,30.0,1673645615
0x7fa9128f778d551236186ab1dfb5aace36af12d9,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,15.9993444608689,1673645639
0x1b9ccfd3916a17946d9fce86afca5ee957fe1044,0x671d6414bc73ec611bf9760c7affbad51bd0c1ab,7.0,1673645735
0x558de6737c93670f0120d54111cd267e3f09a869,0xc54914e706b504c149e60db4381df121051ebb29,499.9992208518853,1673645807
0x6d1f8a4ae743822882783ca36b58f1778ed6bdaa,0x67360e4cbd20ff5207ff73037fc0ecfc65bfdc3e,5.0,1673645903
0xc54914e706b504c149e60db4381df121051ebb29,0x65eeeaadfa824a0082130bf0a1293c4b174d9ab3,122.0,1673645903
0xc54914e706b504c149e60db4381df121051ebb29,0xc76445564d6c2b31d8cfdf1c1b618d8b02468f09,186.0,1673645939
0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,100.0,1673645951
0xf69f340cf699be3e0169558230d51d45d01d0216,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,18.990206519400747,1673646383
0xc54914e706b504c149e60db4381df121051ebb29,0x27ad9cf1ec605f9f95aa54f4bf58998eb072c901,191.9968381806902,1673645987
0x87a8a79c2c3b58779a4df43103cb8596982fc5a5,0x5c6ac09baa6ba2a874e8bf66111895fd96c87fa3,199.20655,1673645987
0x24f69318ffc95ef906fc9eda08b8911d0fe43691,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,19.9992786690806,1673646383
0xfaca6542b3cc3037beeb7418db1bcb0c5a945934,0x12c21e4f3e9eb054f6efdb188c74bc0a22a89a07,197.49220626219673,1673646011
0x65eeeaadfa824a0082130bf0a1293c4b174d9ab3,0x4065b21b02d551915184e2d9077381a59a4f4106,48.0,1673646023
0xab9e793b87ab2cab13b05b80a444464852eb4d30,0xd21c356b252212297f55187c4d3d001f1278c5ff,5.0,1673646047
0x65eeeaadfa824a0082130bf0a1293c4b174d9ab3,0x486d03861ce53f689fe0ca1844d3aacf385f5645,73.99825379396218,1673646047
0x03902b9bae34339fcc25ac1a6a2567f279bf66c9,0x12c21e4f3e9eb054f6efdb188c74bc0a22a89a07,99.99922604555734,1673646059
